PM2.5,PM10,NO,NO2,NOx,CO,SO2,AQI
0.113122,0.118118,0.01349,0.042932,0.042191,0.030089,0.383596,0.111002
0.169588,0.118118,0.00791,0.040751,0.034472,0.01769,0.610472,0.075375
0.107943,0.118118,0.009881,0.035146,0.035969,0.022069,0.216301,0.075375
0.145671,0.118118,0.012876,0.04608,0.046105,0.028724,0.40098,0.140963
0.135797,0.118118,0.014514,0.040999,0.042042,0.032364,0.403714,0.149312
0.1017,0.118118,0.011903,0.043871,0.043902,0.026563,0.20325,0.111493
0.133407,0.118118,0.040112,0.066041,0.08496,0.089244,0.480629,0.162574
0.111701,0.118118,0.033533,0.063528,0.074952,0.074626,0.34016,0.240668
0.090815,0.118118,0.006835,0.028962,0.023309,0.015301,0.25855,0.144892
0.088373,0.118118,0.006937,0.000193,0.005881,0.015528,0.175651,0.105108
0.068498,0.118118,0.007986,0.012617,0.014434,0.01786,0.114831,0.052554
0.053677,0.118118,0.015922,0.056488,0.056027,0.035493,0.079907,0.071218
0.040728,0.118118,0.020427,0.053203,0.056904,0.045504,0.103792,0.08055
0.064298,0.118118,0.025393,0.049172,0.058123,0.056538,0.204694,0.092338
0.061477,0.118118,0.027287,0.04757,0.058551,0.060747,0.282074,0.09725
0.064688,0.118118,0.029233,0.046052,0.059042,0.06507,0.220015,0.102161
0.068793,0.118118,0.031434,0.044368,0.059577,0.069962,0.144184,0.108055
0.106195,0.118118,0.052219,0.052154,0.080897,0.116148,0.164509,0.229862
0.102574,0.118118,0.013541,0.082855,0.071894,0.030203,0.185917,0.166503
0.136039,0.118118,0.036502,0.078189,0.089644,0.081224,0.361723,0.154224
0.136365,0.118118,0.054293,0.079459,0.097085,0.120755,0.09105,0.277014
0.105827,0.118118,0.019301,0.05185,0.052028,0.043001,0.199897,0.195481
0.137165,0.118118,0.018226,0.048095,0.050724,0.040612,0.268558,0.097741
0.056003,0.118118,0.020555,0.04376,0.049911,0.045788,0.186845,0.131139
0.044171,0.118118,0.026673,0.05011,0.046618,0.059382,0.087645,0.073183
0.052698,0.118118,0.024164,0.04111,0.048115,0.053808,0.158164,0.075375
0.088057,0.118118,0.027825,0.047405,0.058059,0.061942,0.212071,0.273084
0.040886,0.118118,0.005529,0.04492,0.037936,0.0124,0.136136,0.056483
0.049318,0.118118,0.007526,0.044616,0.03954,0.016836,0.216404,0.056974
0.074657,0.118118,0.010495,0.042684,0.041229,0.023434,0.122053,0.068271
0.056445,0.118118,0.010777,0.039812,0.03862,0.02406,0.074542,0.080059
0.047845,0.118118,0.010853,0.03788,0.036567,0.024231,0.066237,0.075639
0.064024,0.118118,0.013439,0.045831,0.045805,0.029976,0.076864,0.045678
0.054624,0.118118,0.035043,0.04931,0.06766,0.077982,0.07903,0.107073
0.081931,0.118118,0.017022,0.047239,0.049184,0.037939,0.241475,0.154224
0.060582,0.118118,0.014284,0.042684,0.043667,0.031853,0.21496,0.079077
0.081246,0.118118,0.017918,0.042684,0.045185,0.039929,0.371215,0.084479
0.047634,0.118118,0.018507,0.035146,0.042042,0.041238,0.096105,0.081532
0.109206,0.118118,0.016229,0.038349,0.042469,0.036175,0.039979,0.09725
